	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD27	0	-5.45842282023668	0.074	0.942	0
DUSP4	0	-5.52968451301427	0.123	0.962	0
ANXA1	0	6.63335202262964	0.845	0.033	0
VCAM1	0	-6.85381362779582	0.022	0.815	0
GNLY	0	7.75814904353985	0.799	0.016	0
GZMK	0	-3.56645631496537	0.182	0.939	0
TNFRSF9	0	-4.40374376750233	0.096	0.818	0
GZMH	0	2.80160995856822	0.915	0.223	0
KLRD1	0	6.18350463901427	0.703	0.026	0
LAG3	0	-3.6903379741448	0.194	0.867	0
FGFBP2	0	8.15523888340935	0.669	0.007	0
CD82	0	-4.29815797997654	0.07	0.724	0
HNRNPLL	0	-3.43335765609574	0.148	0.789	0
GZMM	0	4.06505483163847	0.662	0.05	0
LYST	0	-2.75626731572749	0.25	0.858	0
GZMB	0	2.75944216943898	0.77	0.191	0
TOX2	0	-8.60357662359177	0.003	0.57	0
SPON2	0	6.0446761488048	0.58	0.017	0
RGS1	0	-3.17631157570543	0.365	0.921	0
SIRPG	0	-4.05883664705055	0.05	0.601	0
GLUL	0	4.97529659390628	0.566	0.028	0
PTMS	0	-2.84507891138038	0.155	0.689	0
HAVCR2	0	-3.88071338308016	0.069	0.6	0
COTL1	0	-2.54336052757035	0.295	0.822	0
SNAP47	0	-3.90172900710978	0.057	0.583	0
CD200R1	0	-4.87591217303153	0.028	0.541	0
PDCD1	0	-2.38289461312815	0.182	0.681	0
FAM3C	0	-3.28497669706813	0.125	0.624	0
TOX	0	-2.53524590872604	0.167	0.663	0
KLRB1	0	6.50747652651586	0.5	0.013	0
HLA-DRA	0	-3.33975389860419	0.144	0.626	0
AC010422.3	0	-1.47225672513079	0.29	0.767	0
RORA	0	5.15545364656611	0.483	0.02	0
MBP	0	4.12343440458399	0.505	0.044	0
KLF2	0	1.75281513112536	0.847	0.39	0
ZEB2	0	2.92258257483986	0.589	0.132	0
IFITM1	0	2.26725999032124	0.964	0.51	0
SIT1	0	-2.0228007495535	0.223	0.66	0
FABP5	0	-2.43439863795813	0.148	0.58	0
MATK	0	3.45294792573078	0.487	0.056	0
GALM	0	-2.41343735835857	0.15	0.58	0
KLF3	0	7.33237784031139	0.431	0.004	0
IL7R	0	4.19044725921216	0.496	0.071	0
SEMA4A	0	-5.24839659622431	0.014	0.436	0
LTB	0	-2.65853264605243	0.159	0.581	0
TRAF5	0	-3.09872132171055	0.082	0.503	0
FCGR3A	0	3.18900148631373	0.494	0.075	0
HLA-DMA	0	-2.86505134971914	0.106	0.523	0
SNX9	0	-3.89540871671223	0.046	0.462	0
S1PR5	0	9.19821550218608	0.415	0.001	0
PAG1	0	-3.15283816883865	0.068	0.481	0
FKBP5	0	3.00758606681249	0.497	0.085	0
RNF19A	0	-2.02876814206469	0.307	0.718	0
CSF1	0	-3.26863922325766	0.055	0.462	0
TBX21	0	2.72101448078459	0.521	0.115	0
ISG20	0	1.72043285571912	0.811	0.406	0
CD83	0	2.48060640867867	0.54	0.136	0
HMOX1	0	-4.95837066695403	0.022	0.42	0
BIN2	0	1.92747392644792	0.73	0.333	0
FCRL6	0	3.72282535883501	0.44	0.047	0
CTLA4	0	-5.05924553308536	0.019	0.412	0
APOBEC3G	0	-1.64327020288153	0.435	0.82	0
KLRG1	0	3.03898060348481	0.462	0.081	0
HLA-DRB1	0	-2.23350193662471	0.502	0.879	0
S100A10	0	2.05061414129077	0.918	0.545	0
CDKN1A	0	2.16385031983825	0.581	0.209	0
LYAR	0	2.59164380680113	0.499	0.127	0
STOM	0	3.47402492762724	0.416	0.044	0
PLAC8	0	8.27115599370132	0.371	0.002	0
TTN	0	-4.9667313976478	0.017	0.386	0
PXN	0	3.27249711348876	0.43	0.064	0
STAT4	0	3.16025116289438	0.429	0.067	0
RASGRP2	0	5.52280443258247	0.361	0.01	0
CD8B	0	-1.04291082367915	0.556	0.902	0
ZNF331	0	-2.04493704335804	0.575	0.918	0
HLA-DRB5	0	-2.22641303640803	0.501	0.843	0
RGS2	0	-2.02223650285957	0.53	0.87	0
IFITM2	0	1.77619184049579	0.9	0.574	0
ADRB2	0	3.7091009359905	0.358	0.038	0
TRGV4	0	4.77271515411181	0.32	0.015	0
EMP3	0	1.50220480677873	0.762	0.465	0
LIMD2	0	-1.24559353876569	0.599	0.893	0
PTGER2	0	4.89699308675432	0.302	0.012	0
TXNIP	0	2.02088417928689	0.906	0.618	0
CD52	0	1.51754797135695	0.871	0.584	0
TYROBP	0	6.30227969465891	0.285	0.011	0
NBEAL1	0	-1.22696423130207	0.672	0.933	0
CD8A	0	-1.42970375057261	0.717	0.972	0
KLRF1	0	8.12847678072082	0.247	0.002	0
ZNF683	0	6.56147520244315	0.235	0.004	0
S1PR1	0	5.92800984247384	0.229	0.005	0
OSBPL5	0	5.33879161603139	0.22	0.007	0
APBA2	0	6.5667423547822	0.207	0.002	0
S100A4	0	1.1910284544694	0.916	0.747	0
TSC22D3	0	1.36471014027127	0.978	0.831	0
CD74	0	-2.6893316517	0.853	0.998	0
MYL12A	0	1.17354958675202	0.95	0.808	0
LAPTM5	0	-0.943116812659823	0.867	0.97	0
ZFP36L2	0	1.23598757810708	0.972	0.87	0
CST7	0	-0.888441030676892	0.956	0.992	0
TMSB10	0	1.06360641904993	0.998	0.969	0
RPL3	0	1.0889284424772	0.996	0.979	0
RPL12	0	-0.549322741464515	0.995	0.999	0
RPL29	0	0.588745182929039	0.998	0.995	0
RPS18	0	0.76250916628025	0.993	0.99	0
RPL11	0	0.503442125370419	0.998	0.999	0
RPL14	0	0.79773297804151	0.995	0.996	0
RPL32	0	0.672598558753394	0.998	0.997	0
RPL34	0	0.708459747813474	0.997	0.998	0
RPL39	0	0.740820198156329	0.999	0.998	0
RPS12	0	0.609840452762221	0.998	0.999	0
RPS21	0	0.578682035155246	0.998	0.997	0
RPS3	0	0.63902569268729	0.998	0.999	0
EEF1A1	0	0.459151528421563	1	1	0
RPL37	0	0.559378494894519	0.995	0.995	0
RPS14	0	0.634881708172164	0.998	0.998	0
RPS4X	0	0.86145001463033	0.997	0.997	0
RPS8	0	0.588566202785833	0.999	0.999	0
AES	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000583491527738512	1.52735459456155	0.655	0.367	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142027672766831
ABCG1	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000485712527373573	-3.55379826762627	0.041	0.424	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118227286288001
